idade,genero,pais,nivel_educacional,anos_programando,cargo_atual,anos_usando_ml,salario_anual_usd,linguagens_usadas,bancos_de_dados_usados,ferramentas_bi_usadas
25-29,Woman,United States of America,Master’s degree,5-10 years,Data Scientist,Accounting/Finance,"125,000-149,999",Python;R;SQL,,
30-34,Woman,United States of America,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,,Python;R;SQL,,
55-59,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,20+ years,Data Scientist,Marketing/CRM,"60,000-69,999",Python;SQL;Bash,MongoDB,
22-24,Woman,India,Bachelor’s degree,1-3 years,Data Scientist,Other,$0-999,Python,,
40-44,Woman,Poland,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,"20,000-24,999",Python;SQL,,
40-44,Woman,United States of America,Doctoral degree,5-10 years,Data Scientist,Computers/Technology,"250,000-299,999",Python;R;SQL;MATLAB,SQLite,Tableau
22-24,Woman,Russia,Bachelor’s degree,1-3 years,Data Scientist,Other,,Python,,
35-39,Woman,Canada,Doctoral degree,5-10 years,Data Scientist,Manufacturing/Fabrication,"80,000-89,999",Python,,
30-34,Woman,Poland,No formal education past high school,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,$0-999,,,
55-59,Woman,Canada,Master’s degree,3-5 years,Data Scientist,Energy/Mining,"90,000-99,999",Python;SQL;Bash,MySQL;PostgreSQL,
45-49,Woman,Saudi Arabia,Bachelor’s degree,10-20 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,Python;SQL;C++;PHP,,
40-44,Woman,Argentina,Some college/university study without earning a bachelor’s degree,< 1 years,Data Administrator,Energy/Mining,"1,000-1,999",Python,,
40-44,Woman,United States of America,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"90,000-99,999",,,
25-29,Woman,United States of America,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,"30,000-39,999",Python;R,,
30-34,Woman,India,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"7,500-9,999",Python,,
40-44,Woman,United States of America,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,$0-999,Python;R;SQL,,
30-34,Woman,Japan,Bachelor’s degree,5-10 years,Data Engineer,Online Service/Internet-based Services,"40,000-49,999",R;SQL;Javascript,SQLite;MongoDB,
35-39,Woman,United States of America,Master’s degree,10-20 years,Data Scientist,Broadcasting/Communications,"100,000-124,999",Python;SQL,SQLite;Oracle Database,
45-49,Woman,Singapore,Master’s degree,10-20 years,Data Scientist,Government/Public Service,"30,000-39,999",Python;R;SQL,SQLite,
40-44,Woman,Brazil,Doctoral degree,1-3 years,Data Scientist,Online Service/Internet-based Services,"10,000-14,999",Python,SQLite,
25-29,Woman,United States of America,Master’s degree,3-5 years,Data Scientist,Retail/Sales,"125,000-149,999",Python;R;SQL,MongoDB,
35-39,Woman,Nigeria,Bachelor’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,$0-999,Python;SQL;Bash;MATLAB,,
30-34,Woman,United States of America,Doctoral degree,5-10 years,Data Scientist,Medical/Pharmaceutical,"125,000-149,999",Python;MATLAB,,
25-29,Woman,United States of America,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,"80,000-89,999",Python;SQL,,
35-39,Woman,India,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"10,000-14,999",Python;SQL,,
35-39,Woman,United States of America,Master’s degree,5-10 years,Data Scientist,Accounting/Finance,"200,000-249,999",Python;SQL,SQLite,
30-34,Woman,United States of America,I prefer not to answer,5-10 years,Data Scientist,Academics/Education,"50,000-59,999",Python;C;C++;Bash;MATLAB,,
35-39,Woman,Other,Doctoral degree,3-5 years,Data Scientist,Medical/Pharmaceutical,"70,000-79,999",Python;R;SQL,SQLite,
35-39,Woman,United States of America,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,"100,000-124,999",R;SQL,,
30-34,Woman,Japan,Doctoral degree,3-5 years,Data Scientist,Accounting/Finance,"50,000-59,999",Python;SQL,SQLite;MongoDB,
18-21,Woman,India,Bachelor’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,,Python;R;C;Java;Javascript,,
22-24,Woman,Other,Doctoral degree,5-10 years,Data Administrator,Accounting/Finance,"1,000-1,999",Python;Java;Javascript,MongoDB,
30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Broadcasting/Communications,"50,000-59,999",Python;SQL,MongoDB,
25-29,Woman,India,I prefer not to answer,5-10 years,Data Scientist,Computers/Technology,,Python,MongoDB,
25-29,Woman,India,Master’s degree,3-5 years,Data Scientist,Insurance/Risk Assessment,"10,000-14,999",Python;R;MATLAB,SQLite;MongoDB,Google Data Studio;Looker;Qlik Sense
25-29,Woman,Turkey,Master’s degree,1-3 years,Data Scientist,Computers/Technology,,Python;SQL;Javascript,,
50-54,Woman,United States of America,Master’s degree,5-10 years,Data Scientist,Accounting/Finance,"125,000-149,999",Python;R;SQL,,
22-24,Woman,India,Master’s degree,1-3 years,Data Engineer,Computers/Technology,"7,500-9,999",Python;SQL,,
30-34,Woman,India,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"15,000-19,999",Python;SQL,,
22-24,Woman,India,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"4,000-4,999",Python;SQL,,
30-34,Woman,Other,Bachelor’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Broadcasting/Communications,"15,000-19,999",SQL,,
22-24,Woman,United States of America,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,Python,,
40-44,Woman,Czech Republic,Doctoral degree,10-20 years,Data Scientist,Computers/Technology,"50,000-59,999",Python;SQL,,
25-29,Woman,Netherlands,Master’s degree,10-20 years,Data Scientist,Energy/Mining,"70,000-79,999",Python;SQL,,
25-29,Woman,India,Master’s degree,5-10 years,Data Scientist,Computers/Technology,$0-999,Python;Java,SQLite,
22-24,Woman,India,Bachelor’s degree,3-5 years,Data Scientist,Other,,Python;SQL;C;C++,,
35-39,Woman,India,Master’s degree,1-3 years,Data Scientist,Other,"7,500-9,999",Python,MySQL;SQLite;MongoDB;Snowflake,Tableau;Qlik Sense
35-39,Woman,Other,Doctoral degree,3-5 years,Data Scientist,Government/Public Service,,Python;R,,
30-34,Woman,Pakistan,I prefer not to answer,1-3 years,Data Scientist,Academics/Education,"2,000-2,999",Python;SQL,,
30-34,Woman,"Iran, Islamic Republic of...",No formal education past high school,< 1 years,Data Engineer,Academics/Education,$0-999,Python;R;SQL,,
30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,5-10 years,Data Scientist,Computers/Technology,"100,000-124,999",Python;SQL,SQLite,
50-54,Woman,United States of America,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,"70,000-79,999",SQL,,
30-34,Woman,United States of America,Some college/university study without earning a bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,"70,000-79,999",Python;R;SQL,,
35-39,Woman,India,Master’s degree,1-3 years,Data Scientist,Computers/Technology,"3,000-3,999",Python;SQL;C++;Java,MySQL;PostgreSQL;SQLite;Oracle Database;MongoDB;Snowflake,Google Data Studio;Qlik Sense
35-39,Woman,United States of America,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,$0-999,R;SQL,,
30-34,Woman,India,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,"4,000-4,999",,,
25-29,Woman,India,Bachelor’s degree,< 1 years,Data Scientist,Insurance/Risk Assessment,,Python,,
35-39,Woman,United States of America,Doctoral degree,5-10 years,Data Scientist,Manufacturing/Fabrication,"100,000-124,999",Python;R;SQL,SQLite,
40-44,Woman,United States of America,Doctoral degree,5-10 years,Data Scientist,Marketing/CRM,"150,000-199,999",Python;SQL,,
45-49,Woman,United States of America,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,"5,000-7,499",Python,,
35-39,Woman,Bangladesh,I prefer not to answer,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,$0-999,,,
30-34,Woman,Japan,Doctoral degree,3-5 years,Data Scientist,Accounting/Finance,"50,000-59,999",Python;SQL;Bash,,
30-34,Woman,United States of America,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"100,000-124,999",Python;SQL,,
25-29,Woman,India,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,,Python,,
22-24,Woman,India,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,Python;SQL,,
25-29,Woman,India,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,,Python;R;MATLAB,,
25-29,Woman,India,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;SQL;C;C++,,
22-24,Woman,India,Bachelor’s degree,3-5 years,Data Engineer,Computers/Technology,"5,000-7,499",Python;SQL,,
35-39,Woman,Other,Master’s degree,1-3 years,Data Engineer,Marketing/CRM,"20,000-24,999",Python;SQL;C#;C++,,
25-29,Woman,Chile,Master’s degree,3-5 years,Data Scientist,Computers/Technology,"40,000-49,999",Python;R;SQL,,
25-29,Woman,Mexico,Some college/university study without earning a bachelor’s degree,< 1 years,Data Scientist,Academics/Education,,Python;R;SQL,,
25-29,Woman,China,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"20,000-24,999",Python,,
22-24,Woman,India,Master’s degree,< 1 years,Data Scientist,Computers/Technology,,Python;C;C++,,
40-44,Woman,India,I prefer not to answer,< 1 years,Data Scientist,Academics/Education,$0-999,Python;R;Java,,
25-29,Woman,Israel,Professional doctorate,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,"70,000-79,999",Python;SQL,,
40-44,Woman,United States of America,Master’s degree,5-10 years,Data Scientist,Medical/Pharmaceutical,"125,000-149,999",Python;R;SQL,,
30-34,Woman,India,Master’s degree,1-3 years,Data Scientist,Other,,Python,,
30-34,Woman,United States of America,Bachelor’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;SQL;C#;Javascript,Oracle Database,
22-24,Woman,"Iran, Islamic Republic of...",Master’s degree,1-3 years,Data Scientist,Computers/Technology,"4,000-4,999",Python;SQL,,
35-39,Woman,Poland,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,Python;SQL,MongoDB,
35-39,Woman,India,I prefer not to answer,I have never written code,Data Scientist,Government/Public Service,,,,
50-54,Woman,Other,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"25,000-29,999",,,
35-39,Woman,Israel,Doctoral degree,5-10 years,Data Scientist,Computers/Technology,"100,000-124,999",Python;Bash,SQLite;MongoDB,
40-44,Woman,Poland,Master’s degree,5-10 years,Data Engineer,Marketing/CRM,,Python;SQL,,
25-29,Woman,France,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,,Python;R;C++,MongoDB,
40-44,Woman,United Arab Emirates,Master’s degree,1-3 years,Data Scientist,Computers/Technology,,Python;SQL,,
30-34,Woman,Brazil,Professional doctorate,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"4,000-4,999",,,
30-34,Woman,United States of America,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;R;SQL,,
25-29,Woman,India,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,Python;SQL,,
22-24,Woman,India,Bachelor’s degree,< 1 years,Data Scientist,Accounting/Finance,,Python;SQL,,
30-34,Woman,Czech Republic,Master’s degree,10-20 years,Data Scientist,Online Service/Internet-based Services,"60,000-69,999",Python;C++,SQLite,
30-34,Woman,Taiwan,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,,Python;R,,
22-24,Woman,India,Bachelor’s degree,1-3 years,Data Scientist,Insurance/Risk Assessment,"15,000-19,999",Python,,
40-44,Woman,Netherlands,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,,Python;SQL,,
35-39,Woman,United States of America,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,$0-999,,,
25-29,Woman,Other,Master’s degree,3-5 years,Data Scientist,Academics/Education,"70,000-79,999",Python;R;SQL;Javascript;PHP,,
30-34,Woman,Brazil,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,,,,
40-44,Woman,France,Master’s degree,10-20 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,"30,000-39,999",Python;SQL,,
35-39,Woman,India,Master’s degree,5-10 years,Data Scientist,Other,$0-999,Python;C,,
22-24,Woman,India,Bachelor’s degree,< 1 years,Data Scientist,Accounting/Finance,,Python;R,,
25-29,Woman,Russia,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Broadcasting/Communications,"7,500-9,999",Python;SQL,,
25-29,Woman,India,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"5,000-7,499",,,
40-44,Woman,Other,Master’s degree,1-3 years,Data Scientist,Medical/Pharmaceutical,"3,000-3,999",Python;SQL;Bash,SQLite,Tableau
30-34,Woman,India,Bachelor’s degree,5-10 years,Data Engineer,,,Python;SQL,,
22-24,Woman,Belgium,Master’s degree,3-5 years,Data Scientist,Medical/Pharmaceutical,"70,000-79,999",Python,,
25-29,Woman,Brazil,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,"20,000-24,999",Python;SQL,,
30-34,Woman,United States of America,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,"7,500-9,999",Python;R,,
45-49,Woman,Poland,Some college/university study without earning a bachelor’s degree,5-10 years,Data Scientist,Government/Public Service,"1,000-1,999",Python;R;SQL;Javascript;PHP,,
22-24,Woman,Viet Nam,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"10,000-14,999",SQL,,
30-34,Woman,India,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"4,000-4,999",Python;SQL,,
25-29,Woman,Ukraine,I prefer not to answer,< 1 years,Data Scientist,Other,,Python,,
22-24,Woman,India,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,"3,000-3,999",Python;SQL,,
30-34,Woman,United States of America,Master’s degree,3-5 years,Data Scientist,Manufacturing/Fabrication,"50,000-59,999",Python;R;SQL;Bash,SQLite;MongoDB,Microsoft Power BI
25-29,Woman,Malaysia,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,,Python;R;SQL,,
25-29,Woman,Zimbabwe,Bachelor’s degree,1-3 years,Data Scientist,Other,"15,000-19,999",Python;Javascript,,
22-24,Woman,South Africa,Some college/university study without earning a bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,$0-999,,,
55-59,Woman,United States of America,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"60,000-69,999",,,
30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,1-3 years,Data Scientist,Accounting/Finance,"80,000-89,999",Python;SQL,,
25-29,Woman,Nigeria,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,$0-999,,,
30-34,Woman,United States of America,Doctoral degree,5-10 years,Data Scientist,Manufacturing/Fabrication,"150,000-199,999",Python;R;SQL,,
40-44,Woman,Peru,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,$0-999,SQL,MongoDB,
35-39,Woman,Other,I prefer not to answer,I have never written code,Data Administrator,Medical/Pharmaceutical,$0-999,,,
30-34,Woman,Spain,Master’s degree,5-10 years,Data Scientist,Marketing/CRM,"25,000-29,999",Python;R,SQLite,
35-39,Woman,Other,Doctoral degree,3-5 years,Data Scientist,Academics/Education,$0-999,Python;SQL,,
25-29,Woman,Japan,Master’s degree,1-3 years,Data Scientist,Manufacturing/Fabrication,"20,000-24,999",Python;R;SQL,,
25-29,Woman,Canada,Bachelor’s degree,1-3 years,Data Scientist,Computers/Technology,"100,000-124,999",Python;SQL,,
22-24,Woman,India,Master’s degree,1-3 years,Data Scientist,Other,$0-999,Python;R;SQL;C;MATLAB,,
25-29,Woman,United States of America,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,,R;SQL,,
25-29,Woman,China,I prefer not to answer,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"2,000-2,999",Python;R;SQL,,
18-21,Woman,India,Bachelor’s degree,< 1 years,Data Scientist,Computers/Technology,"1,000-1,999",SQL;C;C++,,
35-39,Woman,Pakistan,Bachelor’s degree,I have never written code,Data Scientist,Other,,,,
22-24,Woman,India,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,,SQL,,
25-29,Woman,India,Master’s degree,10-20 years,Data Scientist,Computers/Technology,"1,000-1,999",Python,,
